harga,lb,lt,kt,km,grs
3000000000,200,200,4,3,0
2100000000,162,162,3,3,2
5800000000,180,141,4,3,2
9300000000,385,386,6,4,4
2000000000,130,100,3,2,1
35000000000,400,600,5,3,4
4000000000,200,140,4,3,2
6500000000,250,180,8,4,1
2850000000,160,135,3,2,2
6800000000,300,200,5,5,4
3500000000,150,112,3,4,1
3500000000,160,110,4,4,2
10500000000,800,457,7,5,2
12500000009,480,312,6,4,4
5500000000,265,250,4,3,2
5700000000,250,162,4,4,2
26000000000,550,485,4,3,2
3000000000,90,160,5,4,1
9500000000,385,380,5,4,2
3750000000,160,110,3,3,2
3600000000,150,340,6,4,0
6500000000,170,89,3,3,1
7500000000,300,325,5,4,2
2500000000,120,60,3,4,1
3900000000,200,130,5,4,1
16000000000,450,310,5,5,1
18000000000,300,538,5,5,0
18500000000,330,360,7,7,0
3999999999,200,130,4,3,2
5800000000,170,141,4,3,1
3900000000,170,100,5,3,2
3100000000,180,103,3,3,2
3000000000,150,139,3,3,1
14000000000,440,393,6,6,6
13500000000,352,394,6,4,2
4000000000,200,135,4,3,2
3500000000,120,90,3,2,2
4300000000,300,180,5,4,2
3900000000,180,154,4,3,2
19000000512,800,361,5,5,5
2750000000,210,91,5,4,1
2900000000,175,134,5,2,1
9500000000,500,345,8,5,4
23000000000,700,987,4,4,4
21000000000,700,547,4,4,7
2600000000,150,90,3,2,0
4000000000,200,220,7,3,1
22900000000,700,650,3,3,2
4000000000,180,105,5,4,1
3200000000,137,86,4,2,1
2600000000,160,93,4,4,1
6300000000,250,180,4,3,1
3400000000,160,110,3,3,1
3250000000,200,90,4,3,1
3000000000,150,95,4,4,1
4100000000,180,155,4,3,1
6500000000,130,160,4,1,2
1800000000,90,100,2,1,0
3500000000,150,135,4,3,1
2100000000,100,126,2,2,1
3000000000,200,125,2,2,1
2150000000,128,135,3,2,1
3000000000,200,90,3,2,2
3250000000,120,104,4,3,1
1750000000,85,90,2,1,1
1500000000,200,170,7,2,0
3800000000,200,145,8,8,1
2500000000,120,100,3,2,1
4200000000,250,206,5,4,1
1100000000,70,70,2,1,0
950000000,100,60,3,1,0
4500000000,128,90,3,3,1
7000000000,150,110,4,3,1
600000000,60,30,2,2,0
2600000000,100,140,3,2,1
9000000000,450,550,10,10,3
4000000000,160,140,4,3,2
4000000000,139,230,4,4,1
19000000000,360,606,7,4,0
10500000000,420,430,7,4,2
28000000000,1100,700,5,6,1
19000000000,824,800,4,4,1
4700000000,500,400,4,3,1
4900000000,251,300,5,4,1
28000000000,1340,575,4,5,1
10000000000,460,300,4,4,1
7600000000,278,350,4,4,1
5250000000,511,300,3,2,1
670000000,70,69,3,2,0
480000000,66,42,2,1,0
10700000000,449,500,6,7,1
4200000000,109,188,2,3,1
8500000000,320,250,4,4,1
7000000000,384,400,4,4,1
20000000000,462,645,5,6,1
9500000000,212,300,4,4,1
13400000000,342,450,5,4,1
11000000000,410,700,4,4,1
5800000000,144,285,4,3,1
35000000000,985,400,4,3,1
14000000000,780,500,3,4,1
5000000000,217,450,4,4,1
40000000000,1500,700,4,4,1
7250000000,210,300,4,3,1
5200000000,110,200,3,3,1
25000000000,760,650,4,4,1
5680000000,151,245,3,3,1
10500000000,220,350,4,3,1
7050000000,128,315,3,3,1
9300000000,235,270,3,3,0
6500000000,100,250,4,3,1
68000000000,470,1000,5,5,1
3000000000,75,150,4,2,1
85000000000,770,500,4,4,1
19500000000,610,1000,6,5,1
20900000000,754,500,4,4,1
15500000000,440,350,4,3,1
14000000000,410,800,4,4,1
39000000000,973,1100,4,3,1
8000000000,251,320,4,4,1
20000000000,780,600,4,4,1
17500000000,954,600,4,3,1
34000000000,1186,900,6,5,1
7500000000,186,380,4,4,1
18500000000,358,500,4,5,1
5000000000,217,200,4,3,1
16000000000,535,600,4,4,1
13000000000,330,500,3,3,1
8000000000,250,320,4,3,1
17500000000,477,530,4,4,1
10500000000,282,450,4,4,1
35500000000,1312,850,5,4,1
16000000000,860,500,4,4,1
11700000000,246,347,4,3,1
18500000000,443,450,4,3,1
17500000000,389,400,4,3,1
6500000000,300,450,4,3,1
18500000000,433,600,4,4,1
25000000000,987,400,4,3,1
23000000000,817,500,6,4,1
12990000000,876,428,5,4,1
15000000000,887,300,3,2,1
13000000000,384,425,5,4,1
33000000000,458,400,4,4,1
9500000000,200,235,3,3,1
5750000000,144,285,4,4,1
19000000000,358,600,4,5,0
19000000000,550,480,4,4,1
21500000000,950,300,5,4,1
5200000000,164,140,3,3,1
14000000000,460,400,4,3,1
55000000000,1487,1200,6,4,1
6250000000,158,400,4,2,1
29000000000,1186,800,9,8,1
8000000000,323,317,5,4,1
8500000000,502,250,4,4,1
18000000000,916,147,5,7,1
4500000000,109,188,2,3,1
10000000000,395,450,5,5,1
4250000000,152,275,3,3,1
4500000000,138,250,5,4,0
2800000000,100,150,3,3,0
15000000000,2010,800,4,3,1
7800000000,188,367,3,3,1
21000000000,500,525,4,5,1
38000000000,1229,800,4,4,1
29950000000,1000,600,4,4,1
7500000000,350,350,6,6,0
25000000000,987,400,4,3,0
36000000000,626,500,5,3,1
20000000000,472,650,6,5,0
29000000000,1186,600,8,9,0
5500000000,234,115,2,2,1
16590000000,405,495,4,4,1
33500000000,1000,800,5,6,0
21000000000,802,904,4,3,1
7720000000,125,298,4,4,1
22000000000,1019,650,4,3,1
18500000000,180,600,4,4,1
16500000000,933,600,5,5,1
11980000000,241,572,4,5,1
8500000000,250,250,4,4,1
7700000000,190,350,3,2,1
4200000000,270,300,4,4,1
15700000000,860,325,5,4,1
17000000000,916,147,5,7,1
8000000000,323,317,5,4,1
9550000000,251,288,3,3,1
7600000000,278,350,4,4,1
10200000000,320,360,6,4,1
5900000000,240,350,4,4,1
6000000000,178,309,4,3,1
10800000000,438,540,6,5,1
55000000000,1500,1200,7,6,1
14000000000,714,750,5,3,0
6900000000,358,450,4,3,1
55000000000,1497,1200,5,5,1
17500000000,1056,600,5,5,1
3500000000,100,156,5,4,1
15500000000,340,500,4,4,1
6900000000,188,350,3,3,0
16000000000,407,575,5,4,1
11900000000,241,571,4,5,1
7500000000,188,351,3,3,1
40000000000,1500,700,4,4,1
12500000000,371,300,4,4,0
11000000000,438,540,8,4,0
55000000000,1500,1200,6,6,1
12000000000,512,350,3,4,0
6500000000,230,400,4,4,1
13940000000,539,610,4,4,0
5700000000,168,170,3,3,0
8000000000,350,350,10,5,0
6900000000,128,315,3,3,0
8000000000,190,420,4,4,1
5500000000,107,311,4,3,1
10700000000,400,300,4,3,1
21000000000,1042,552,5,4,1
6500000000,200,300,4,4,1
16000000000,447,500,4,4,1
13500000000,385,525,5,4,1
15750000000,1060,375,3,2,1
23000000000,558,553,8,6,1
21000000000,1042,550,7,6,1
19300000000,1287,700,5,3,1
4300000000,124,187,3,3,1
20000000000,550,650,4,4,1
9550000000,251,288,4,4,0
22000000000,455,570,4,5,1
23000000000,650,600,5,5,1
55000000000,1500,1000,5,6,1
17500000000,430,820,5,6,1
8000000000,299,400,4,4,1
4600000000,109,180,2,3,1
15000000000,714,750,5,5,1
18000000000,600,400,6,6,1
1370000000,425,216,4,4,0
21000000000,1100,700,5,4,0
12000000000,315,609,5,4,1
24300000000,1944,1944,5,4,1
8000000000,380,450,5,5,1
18900000000,470,660,4,4,0
3200000000,78,65,3,2,1
21900000000,377,260,6,5,1
5600000000,269,300,4,4,1
5000000000,176,400,5,2,1
15000000000,714,750,5,5,1
4800000000,276,200,4,3,1
17000000000,663,530,7,8,1
7800000000,250,300,4,4,1
15000000000,755,416,7,6,1
13500000000,384,450,4,4,1
26500000000,1047,500,5,3,1
7500000000,170,300,4,3,1
11900000000,239,568,4,4,1
17500000000,477,520,4,3,1
15500000000,633,530,5,3,1
5500000000,188,314,4,4,1
9900000000,741,411,5,5,1
8650000000,225,518,4,4,1
3650000000,78,185,3,3,1
18500000000,660,600,5,4,1
3600000000,164,150,4,4,1
3400000000,95,156,4,3,1
18000000000,786,1000,6,7,1
17900000000,450,400,4,3,1
4500000000,124,184,3,3,0
4500000000,300,235,4,4,1
18000000000,600,500,6,6,1
15000000000,741,750,5,5,1
8000000000,380,450,5,5,1
18900000000,470,660,4,4,0
21900000000,377,260,6,5,1
5600000000,269,300,4,4,1
4000000000,117,221,4,3,1
20980000000,959,455,6,5,1
3400000000,95,156,4,3,1
25000000000,1100,550,5,4,1
11500000000,400,416,5,3,1
11510000000,233,544,7,7,0
3600000000,78,185,4,4,0
15000000000,250,460,4,4,1
17500000000,518,450,5,7,1
4000000000,117,221,4,3,1
8000000000,350,350,2,1,0
20000000000,550,600,5,5,1
30000000000,555,527,8,6,1
27000000000,670,650,4,4,1
20000000000,1040,600,4,3,1
15750000000,598,243,4,4,1
34500000000,974,800,5,6,1
4300000000,124,184,3,3,1
8500000000,230,310,5,3,0
9500000000,225,400,3,3,1
19000000000,520,500,5,5,1
13000000000,208,458,4,3,1
11900000000,239,568,4,4,1
13000000000,616,600,5,4,1
20000000000,890,600,5,5,1
7500000000,186,380,3,3,1
6150000000,158,400,3,3,1
10500000000,500,700,4,4,1
13500000000,384,450,4,4,1
55000000000,1475,1200,5,6,1
19000000000,358,635,4,5,1
13900000000,450,248,4,4,1
29500000000,923,429,9,5,0
22000000000,455,570,4,5,1
60000000000,1500,1200,6,6,1
13000000000,314,450,4,4,1
16000000000,895,420,5,5,1
18000000000,968,600,4,3,1
30000000000,1000,800,5,6,1
47000000000,1375,1400,5,5,1
6000000000,206,300,4,4,1
9550000000,251,288,4,5,0
32000000000,973,1100,5,5,1
19000000000,435,650,4,4,1
55000000000,1500,1200,6,6,1
17000000000,624,557,6,5,0
19000000000,870,700,6,4,1
14700000000,474,455,4,5,1
13800000000,260,360,6,5,1
15000000000,450,400,4,3,0
10000000000,160,250,3,4,1
6250000000,150,440,3,2,1
7800000000,200,390,4,4,1
6800000000,137,285,4,3,1
15000000000,398,500,5,4,1
19000000000,916,1000,5,7,0
6750000000,217,193,4,4,0
28000000000,330,300,3,3,1
17000000000,921,310,3,3,1
11900000000,260,365,4,4,1
9530000000,150,523,3,3,0
10400000000,282,280,4,3,1
6500000000,138,290,4,3,1
15000000000,658,500,3,3,1
6000000000,200,272,4,4,1
6900000000,137,315,3,2,1
16000000000,521,470,7,6,1
19000000000,400,788,4,3,1
25000000000,865,450,4,4,1
15500000000,1100,600,4,4,1
12600000000,540,800,5,4,0
7900000000,228,465,4,4,1
20000000000,462,645,5,5,1
5000000000,143,200,3,3,1
18000000000,1900,650,6,6,1
1100000000,90,180,3,3,1
6500000000,427,300,4,4,1
17000000000,407,850,6,5,1
6500000000,217,195,4,3,1
8500000000,307,400,4,5,1
13500000000,429,600,5,4,1
850000000,76,60,2,2,0
14000000000,460,500,5,4,1
11200000000,371,250,6,3,1
7700000000,200,373,4,3,1
10000000000,388,343,4,4,1
13500000000,282,380,4,4,1
13000000000,410,800,4,4,0
27000000000,660,800,5,4,1
19000000000,435,650,4,4,1
7000000000,384,400,4,4,1
27500000000,1068,300,5,3,1
17000000000,465,640,3,4,0
10000000000,475,600,5,5,0
6800000000,210,275,3,2,1
21000000000,754,500,4,4,1
25000000000,1340,600,8,5,1
16000000000,521,471,5,5,1
6000000000,329,500,5,3,0
21000000000,1018,600,4,4,0
33000000000,1100,450,4,4,1
2790000000,180,250,3,3,1
8500000000,307,400,7,6,0
1930000000,111,135,3,3,0
14000000000,410,800,4,4,1
12750000000,500,400,4,3,0
5000000000,188,260,4,3,1
25000000000,1040,600,4,3,0
25000000000,1000,600,9,5,1
85500000000,1500,1300,5,5,1
5400000000,165,297,3,3,1
14000000000,380,350,6,4,1
5600000000,151,254,4,3,1
38000000000,1390,750,6,4,0
30000000000,557,400,4,3,0
17500000000,518,450,5,7,1
39500000000,1960,900,5,4,1
15000000000,395,460,4,4,1
13000000000,235,623,5,5,0
8500000000,434,380,5,2,0
45000000000,836,600,4,4,1
10000000000,230,350,3,2,1
20000000000,425,500,5,4,1
5800000000,144,285,4,3,1
20900000000,754,500,4,4,1
24000000000,832,650,4,1,0
23000000000,800,400,4,4,1
9000000000,256,245,4,4,0
1350000000,72,150,3,3,0
23000000000,800,500,5,4,0
14000000000,464,350,4,3,1
15000000000,733,140,2,2,0
6500000000,500,400,17,18,1
6800000000,376,352,5,5,0
10500000000,320,360,6,4,1
20000000000,442,600,3,4,1
16000000000,895,420,5,4,1
15000000000,400,500,4,4,0
9000000000,240,380,3,3,1
33000000000,1750,700,6,6,1
6200000000,450,550,4,4,1
40000000000,600,500,8,5,1
14500000000,240,450,4,4,1
25000000000,900,600,4,3,0
6200000000,376,352,4,2,1
38000000000,2880,1000,7,6,1
9000000000,350,650,4,3,1
7000000000,251,325,3,3,0
9900000000,452,200,3,2,1
15000000000,291,400,4,4,1
16000000000,445,1200,6,6,1
9000000000,300,300,4,3,1
25000000000,700,500,4,4,1
10000000000,468,410,4,3,1
9500000000,350,430,4,4,0
30000000000,778,320,3,2,0
15000000000,923,900,5,4,0
20000000000,1050,650,4,4,1
15000000000,530,633,4,3,0
5900000000,188,314,4,4,0
1.85E+11,6790,10000,5,5,1
17800000000,430,500,4,4,1
11500000000,375,400,5,4,1
12000000000,340,600,11,11,1
50000000000,325,500,3,3,1
7900000000,266,475,4,4,1
7000000000,250,280,3,3,1
7000000000,230,400,4,4,1
20000000000,600,890,6,6,1
11000000000,575,210,4,3,1
22000000000,1860,400,4,4,1
20000000000,610,1000,6,6,0
16000000000,835,600,5,5,0
8750000000,158,400,3,3,1
39000000000,1900,1000,6,5,0
10500000000,424,313,7,4,1
14000000000,651,350,5,3,1
11000000000,400,225,4,3,1
24000000000,354,350,3,3,1
14500000000,600,500,5,4,1
8500000000,200,400,4,4,1
9900000000,611,500,7,4,1
21000000000,557,882,5,4,1
6000000000,144,250,4,3,1
14000000000,661,800,4,4,0
12900000000,539,610,4,4,1
17640000000,503,541,4,3,1
12000000000,600,500,4,4,1
10000000000,237,250,4,3,1
3790000000,248,248,4,2,0
9000000000,600,400,4,3,0
2.5E+11,6000,1500,5,5,1
9500000000,274,258,3,3,1
17500000000,518,450,5,7,1
8250000000,159,278,3,3,1
4300000000,123,190,3,3,0
4300000000,152,230,4,2,0
5620000000,122,311,3,3,1
3250000000,240,200,3,3,1
6500000000,144,285,4,3,1
25000000000,1020,800,5,3,1
23000000000,752,400,4,3,1
17700000000,860,750,5,4,1
7700000000,190,300,3,2,1
16000000000,465,640,4,4,1
6000000000,200,272,4,4,1
15000000000,500,765,4,4,1
25000000000,685,450,4,4,1
20000000000,910,450,5,4,1
15000000000,580,220,4,3,0
8500000000,246,221,3,3,1
4000000000,125,125,3,3,1
11500000000,400,300,3,3,1
27500000000,1010,605,6,6,1
6000000000,182,500,4,3,1
17500000000,477,550,4,4,1
17000000000,300,475,5,4,1
7500000000,259,410,4,3,1
28000000000,572,450,8,7,1
7000000000,349,349,9,5,1
9000000000,200,480,4,3,1
39000000000,973,1100,4,4,1
42000000000,2131,1600,5,5,1
4000000000,219,103,4,2,1
9000000000,490,350,4,3,1
25000000000,1000,800,4,3,1
3800000000,153,180,4,3,0
15000000000,506,400,3,3,0
17000000000,465,640,4,4,1
7300000000,278,350,4,4,1
8500000000,250,400,4,4,1
55000000000,2641,1000,4,3,1
17000000000,851,450,4,3,1
17000000000,392,327,4,4,1
10000000000,402,236,3,3,1
12000000000,254,370,4,4,1
10500000000,380,300,3,3,1
17500000000,417,560,4,4,1
5250000000,135,250,3,4,1
13500000000,565,380,3,3,1
10500000000,220,350,4,3,1
17000000000,440,350,4,4,1
7900000000,356,450,4,3,1
18600000000,474,455,4,4,0
35000000000,1200,900,6,6,1
25000000000,670,650,3,3,0
22000000000,754,500,4,4,1
68000000000,2595,1000,5,5,1
6500000000,266,350,4,4,1
2500000000,200,120,3,3,1
22000000000,754,500,4,4,1
22000000000,888,450,4,3,1
5100000000,120,210,4,3,0
9200000000,231,389,3,3,1
36000000000,1200,850,5,4,0
7900000000,205,357,4,4,0
5800000000,250,350,4,4,1
11000000000,230,350,4,4,1
4900000000,340,210,3,2,1
23000000000,806,700,4,4,1
17000000000,440,350,4,4,1
8200000000,188,330,3,3,1
9500000000,251,295,4,4,1
6500000000,266,350,4,3,1
27000000000,900,400,4,3,1
16500000000,600,400,7,4,1
35000000000,2000,800,4,4,0
6200000000,142,311,3,2,1
15000000000,912,484,6,3,1
9500000000,251,295,4,4,1
23000000000,806,700,4,4,1
7370000000,211,465,4,4,1
19500000000,850,750,3,2,1
5800000000,122,289,3,3,1
33000000000,1100,800,5,5,1
22500000000,500,536,5,5,1
4200000000,110,165,4,3,1
16950000000,387,250,1,1,1
13000000000,616,650,4,4,1
18000000000,670,385,4,4,1
7000000000,140,215,4,4,1
5000000000,234,350,4,4,1
38500000000,1420,550,8,5,1
15000000000,395,420,4,4,1
13500000000,230,400,3,2,1
13000000000,372,450,4,4,1
8500000000,250,400,4,4,1
17000000000,786,1000,6,7,0
43000000000,1350,750,5,5,1
13000000000,235,623,4,4,0
22000000000,1000,800,5,4,0
9950000000,212,300,4,3,1
12500000000,512,350,3,3,1
16000000000,578,500,5,4,1
22600000000,754,500,4,4,1
75000000000,1830,1000,5,4,1
30000000000,1100,500,4,4,1
20000000000,897,450,4,4,1
15000000000,733,140,2,2,1
19000000000,435,500,4,4,1
8700000000,229,327,4,3,1
25000000000,670,671,4,4,0
19000000000,520,600,4,4,0
35000000000,900,800,7,5,1
18000000000,677,450,4,3,0
15000000000,415,150,3,2,1
9500000000,350,460,6,5,1
25500000000,1020,816,5,3,0
16000000000,1095,450,3,4,1
15000000000,940,320,2,2,1
22000000000,824,600,7,4,1
6900000000,243,260,4,4,1
20000000000,429,499,4,4,1
45000000000,1466,900,9,9,1
60000000000,2360,542,6,8,1
10800000000,472,650,6,3,1
56000000000,1470,2000,7,7,1
14400000000,474,455,3,4,1
60000000000,2630,542,6,8,0
9500000000,278,400,3,2,1
19000000000,430,500,4,5,1
40000000000,973,1100,4,4,1
1.7523E+11,4574,4271,4,4,1
19500000000,834,780,6,3,0
17000000000,392,450,4,4,1
16000000000,1095,450,3,4,1
13000000000,407,850,4,4,1
21000000000,817,500,4,3,0
19000000000,800,500,5,4,1
1880000000,90,135,3,3,1
5100000000,140,250,3,2,0
12000000000,572,432,5,6,1
8000000000,350,350,5,5,1
17000000000,389,450,7,4,1
49000000000,943,600,7,4,1
6000000000,144,250,4,3,1
12000000000,230,300,5,4,1
17000000000,470,660,4,4,1
10500000000,220,325,4,3,1
950000000,50,80,3,2,0
9500000000,462,350,3,3,1
19000000000,358,500,4,5,1
25500000000,1020,816,4,4,1
2800000000,70,125,3,3,0
18500000000,358,500,4,4,1
22000000000,780,580,4,4,0
5500000000,150,210,4,4,1
10500000000,500,700,4,4,1
17000000000,465,640,4,5,1
5680000000,151,245,3,3,1
15000000000,400,800,4,4,0
13500000000,615,500,4,5,0
4800000000,200,260,5,7,0
14000000000,350,250,3,3,1
19000000000,520,500,5,5,0
17000000000,389,450,4,4,1
13500000000,1034,900,6,5,1
8500000000,307,400,7,6,0
9500000000,458,300,5,4,1
40000000000,1050,800,27,21,1
18000000000,900,500,4,4,1
6700000000,285,258,4,4,0
37500000000,680,1250,6,5,1
26000000000,600,450,4,4,1
15000000000,500,1000,5,5,1
33000000000,585,900,7,6,1
8500000000,250,300,4,4,1
22000000000,900,1800,4,3,1
7900000000,220,300,3,3,1
11160000000,248,333,4,4,1
19500000000,443,450,5,3,0
10000000000,475,600,5,5,0
1100000000,59,80,3,2,1
7190000000,207,245,3,3,1
9000000000,200,300,5,4,1
5700000000,144,325,3,3,1
36000000000,1300,850,5,4,0
17000000000,663,530,5,4,1
23000000000,650,600,5,5,0
1140000000,60,60,3,2,0
12500000000,512,350,3,3,1
16000000000,587,350,4,3,1
5800000000,144,285,4,3,0
17000000000,536,900,7,2,1
14000000000,464,360,4,3,0
17500000000,518,450,5,7,1
26000000000,900,500,7,4,0
11500000000,547,500,4,3,1
19000000000,800,500,5,3,0
19000000000,800,500,5,4,1
3600000000,164,150,4,4,1
5300000000,90,205,3,3,1
11000000000,436,300,6,5,0
6620000000,135,225,5,4,0
5500000000,164,240,4,3,1
19800000000,1039,430,5,4,0
40000000000,1752,712,3,4,0
10000000000,395,450,5,5,1
6500000000,124,300,3,3,1
6800000000,145,330,4,1,1
9000000000,450,700,4,4,0
4500000000,240,355,4,3,1
24500000000,876,600,8,5,0
5800000000,144,325,3,3,1
10500000000,500,700,4,4,1
15500000000,440,350,6,4,0
7000000000,272,310,5,3,1
14500000000,600,643,5,5,1
5500000000,150,210,4,4,1
17000000000,670,800,5,5,1
18500000000,443,450,5,5,1
4400000000,236,158,6,4,0
14000000000,460,400,4,3,1
19800000000,1039,430,5,3,1
6800000000,253,380,4,3,1
14000000000,460,400,4,4,0
9550000000,251,288,3,4,1
4600000000,123,190,3,3,1
19000000000,358,500,5,5,1
5800000000,128,148,3,3,1
7000000000,291,210,4,3,1
21500000000,788,400,4,3,0
38000000000,900,422,4,3,1
5900000000,160,176,4,3,0
15000000000,600,450,5,4,0
14900000000,700,500,4,3,1
16000000000,587,350,4,3,1
21000000000,1180,550,5,4,1
9500000000,330,450,5,2,1
8500000000,400,280,3,3,0
14000000000,580,500,6,4,1
26000000000,600,450,4,4,1
13000000000,330,430,5,4,1
8600000000,246,350,3,3,0
7000000000,194,229,5,4,1
18000000000,800,600,5,5,1
5500000000,214,245,4,2,0
43000000000,1000,600,27,27,1
13500000000,250,350,5,4,1
36000000000,1300,850,5,5,1
4500000000,235,300,4,4,1
18500000000,1000,700,4,3,1
21500000000,603,400,4,1,1
21000000000,358,500,4,5,1
24000000000,450,1320,5,3,0
15000000000,225,425,5,4,1
21600000000,800,500,4,2,1
12000000000,477,970,5,4,1
5000000000,185,255,4,4,1
7700000000,188,300,3,3,1
8700000000,246,350,3,3,1
5200000000,464,400,5,5,1
30000000000,1017,500,5,3,1
4500000000,258,150,2,2,0
30000000000,1500,600,7,7,1
28000000000,1100,800,5,4,1
14200000000,474,455,3,3,1
29000000000,1019,800,6,4,1
6900000000,389,400,4,3,1
21900000000,377,266,4,3,1
14500000000,212,363,3,4,1
5300000000,129,148,3,3,0
7900000000,181,330,3,4,0
4500000000,151,200,4,4,1
17000000000,500,600,4,3,0
14500000000,240,450,4,4,1
20000000000,1040,600,4,3,1
5900000000,160,176,4,3,1
20000000000,1026,750,6,4,1
2500000000,94,180,4,4,0
18500000000,421,450,4,3,1
20000000000,472,650,4,3,0
6500000000,295,300,4,4,1
5000000000,225,245,3,3,0
17000000000,465,640,4,4,1
15000000000,500,600,5,5,1
10000000000,246,350,3,3,1
18000000000,700,500,5,4,1
36000000000,1147,900,5,6,1
35500000000,500,525,4,4,1
5250000000,190,320,4,3,1
13500000000,330,520,3,2,1
10700000000,604,550,5,5,1
18000000000,415,470,5,4,1
21000000000,817,500,4,4,1
10000000000,227,400,4,3,1
6500000000,215,320,4,3,1
4700000000,260,280,6,4,1
17500000000,518,450,5,7,1
19750000000,500,536,5,5,1
30000000000,317,450,4,4,1
15000000000,585,300,4,2,0
25000000000,1050,1000,4,4,0
11100000000,230,568,4,4,1
20000000000,780,500,4,3,0
5300000000,330,250,10,4,0
39000000000,973,1000,4,4,0
38000000000,1180,800,8,9,1
18000000000,216,384,4,4,1
23000000000,558,563,8,6,1
26000000000,1083,1200,6,6,1
23000000000,693,474,5,4,1
4750000000,161,250,4,2,0
15900000000,400,500,4,5,1
5500000000,230,300,3,3,0
9000000000,159,380,3,3,1
19000000000,817,600,5,4,1
22600000000,754,500,4,4,1
33000000000,585,900,7,6,1
12000000000,600,500,4,3,1
15000000000,385,500,4,5,1
17500000000,518,450,5,7,1
1870000000,22,90,3,2,0
17500000000,800,800,5,5,0
5800000000,144,285,4,3,1
39000000000,450,650,7,5,1
6500000000,399,350,4,3,1
12000000000,615,450,4,4,1
8800000000,527,600,3,3,0
7730000000,225,245,3,3,1
500000000,60,60,2,1,0
14400000000,474,450,4,3,1
16000000000,407,575,5,4,1
40000000000,973,1100,4,4,1
11000000000,180,415,4,5,1
5500000000,144,325,3,4,0
16000000000,350,600,4,4,0
21000000000,1042,550,7,6,1
11200000000,246,345,6,5,1
5500000000,214,245,5,3,0
6500000000,250,214,4,3,0
16500000000,472,650,4,3,1
10500000000,230,300,10,10,1
10000000000,227,400,6,4,1
10500000000,876,700,7,4,0
15000000000,400,450,5,4,1
8950000000,246,340,6,3,1
22000000000,1000,800,5,4,1
6800000000,133,331,4,3,1
5200000000,347,300,5,4,0
20000000000,450,550,5,2,0
26000000000,700,887,4,5,0
15500000000,450,400,4,4,0
6900000000,625,500,4,4,1
2750000000,130,175,3,3,0
22000000000,455,570,4,5,1
9550000000,251,288,4,3,0
15000000000,520,500,4,4,1
15000000000,1055,650,8,5,1
39000000000,973,1100,4,4,1
17500000000,518,450,5,7,1
28000000000,1020,816,5,3,1
4650000000,124,220,4,3,1
6800000000,389,200,4,3,1
5900000000,214,245,5,3,0
14500000000,648,400,8,6,1
36000000000,1300,850,6,4,1
19500000000,520,500,5,4,1
5000000000,300,200,5,4,0
11100000000,282,383,4,2,1
14000000000,718,400,2,2,1
4950000000,135,250,3,4,1
8500000000,246,221,4,4,1
4700000000,110,250,4,3,0
14400000000,451,320,5,4,1
85000000000,1175,1700,5,6,1
6700000000,190,250,4,3,1
4400000000,201,300,4,3,0
6800000000,212,170,3,2,1
5800000000,150,171,3,3,0
14850000000,539,610,4,4,1
11000000000,180,420,4,5,1
17000000000,392,400,4,4,1
8250000000,174,220,3,3,1
8000000000,352,200,4,2,1
16000000000,407,500,4,4,1
5400000000,104,240,3,3,1
14000000000,407,800,4,3,1
25000000000,752,450,4,4,1
19000000000,380,600,4,4,1
1350000000,72,150,3,3,0
3500000000,156,95,4,3,1
14500000000,560,200,3,2,1
3500000000,100,186,4,3,1
2200000000,110,200,3,3,1
15500000000,1055,500,5,3,1
1300000000,65,108,3,2,1
1200000000,69,75,3,1,0
1310000000,51,60,2,2,0
2400000000,127,180,5,5,1
5500000000,234,115,2,2,1
15000000000,500,550,5,5,1
35500000000,1500,1000,6,6,1
3800000000,220,220,3,3,0
4970000000,154,300,6,4,1
10500000000,202,600,3,3,0
680000000,50,60,3,2,0
2570000000,107,120,3,3,0
14000000000,949,800,5,4,1
4600000000,201,350,4,3,1
4200000000,109,188,3,3,1
13500000000,465,365,5,5,1
700000000,60,52,3,2,1
1650000000,78,105,3,3,1
1300000000,86,135,3,2,0
80000000000,800,2000,7,6,1
11750000000,340,419,4,4,0
14900000000,291,400,4,4,0
57000000000,550,1200,5,5,1
1350000000,69,100,3,3,1
555000000,32,38,2,2,0
1200000000,60,70,3,2,1
2990000000,123,160,4,3,0
7500000000,150,350,3,3,1
4200000000,85,190,3,3,0
25000000000,850,530,6,4,1
1880000000,60,90,3,2,0
5300000000,144,285,4,3,1
1300000000,78,100,3,3,0
700000000,60,52,3,2,1
650000000,60,52,3,2,1
679000000,60,50,3,2,0
2200000000,110,200,4,4,0
1200000000,60,70,3,2,1
3750000000,321,220,5,5,1
15000000000,291,400,4,3,1
13500000000,500,640,5,5,1
15000000000,291,400,4,4,1
7050000000,128,315,3,3,1
13700000000,323,400,4,3,1
9500000000,239,436,4,4,1
14500000000,465,841,5,4,1
17000000000,392,500,4,4,1
32000000000,325,600,4,4,1
1.68E+11,1770,1000,5,5,1
30000000000,345,500,4,4,1
32000000000,430,600,4,4,1
1.8E+11,1442,1000,6,5,1
90000000000,1066,5000,8,6,1
35000000000,2600,700,5,5,1
23000000000,400,400,4,4,1
75000000000,1050,1500,5,5,1
68000000000,470,1000,5,5,1
1.35E+11,850,1000,5,4,1
1.65E+11,2122,1500,6,6,1
2800000000,75,150,4,2,1
12000000000,340,419,4,5,0
